[performance_estimation] ,14016,0.914137,0.973646,0.736505,0.655523,0.597345 
[performance_estimation] ,14080,0.915444,0.980434,0.596582,0.535452,0.597064 
[performance_estimation] ,14144,0.915998,0.982138,0.619854,0.557643,0.596886 
[performance_estimation] ,14208,0.916243,0.971248,0.650898,0.579234,0.596806 
[performance_estimation] ,14272,0.916633,0.952312,0.627380,0.547653,0.596586 
[performance_estimation] ,14336,0.917155,0.956529,0.557274,0.488888,0.596105 
[performance_estimation] ,14400,0.917068,0.935256,0.637641,0.546901,0.595886 
[performance_estimation] ,14464,0.917178,0.934029,0.593470,0.508409,0.595499 
[performance_estimation] ,14528,0.916960,0.951033,0.648134,0.565211,0.595366 
[performance_estimation] ,14592,0.917138,0.965383,0.645167,0.571224,0.595260 
[performance_estimation] ,14656,0.917245,0.980064,0.643662,0.578625,0.595187 
[performance_estimation] ,14720,0.917249,0.992568,0.602328,0.548378,0.594984 
[performance_estimation] ,14784,0.917301,0.994030,0.696531,0.635114,0.595158 
[performance_estimation] ,14848,0.917263,0.979836,0.655920,0.589520,0.595133 
[performance_estimation] ,14912,0.917344,0.965879,0.748647,0.663333,0.595426 
[performance_estimation] ,14976,0.917943,0.960245,0.826105,0.728171,0.595993 
[performance_estimation] ,15040,0.917913,0.938497,0.661463,0.569823,0.595882 
[performance_estimation] ,15104,0.918035,0.914319,0.662853,0.556384,0.595715 
[performance_estimation] ,15168,0.918018,0.897420,0.707906,0.583207,0.595662 
[performance_estimation] ,15232,0.917753,0.901707,0.696922,0.576734,0.595582 
[performance_estimation] ,15296,0.917776,0.904021,0.713435,0.591929,0.595567 
[performance_estimation] ,15360,0.917802,0.915398,0.734435,0.617039,0.595656 
[performance_estimation] ,15424,0.917862,0.924559,0.778751,0.660861,0.595927 
[performance_estimation] ,15488,0.917910,0.934173,0.805381,0.690603,0.596318 
[performance_estimation] ,15552,0.918046,0.944764,0.755015,0.654853,0.596559 
[performance_estimation] ,15616,0.917825,0.954761,0.822053,0.720368,0.597066 
[performance_estimation] ,15680,0.917548,0.971495,0.709093,0.632081,0.597209 
[performance_estimation] ,15744,0.917377,0.972942,0.781602,0.697622,0.597618 
[performance_estimation] ,15808,0.916202,0.971061,0.572847,0.509655,0.597261 
[performance_estimation] ,15872,0.914903,0.959471,0.577420,0.506873,0.596897 
[performance_estimation] ,15936,0.914420,0.950383,0.680452,0.591346,0.596875 
[performance_estimation] ,16000,0.913535,0.926185,0.664749,0.562446,0.596737 
[performance_estimation] ,16064,0.912446,0.877539,0.611098,0.489310,0.596309 
[performance_estimation] ,16128,0.911899,0.893183,0.691176,0.562958,0.596176 
[performance_estimation] ,16192,0.911565,0.908787,0.682217,0.565161,0.596054 
[performance_estimation] ,16256,0.911353,0.915463,0.655674,0.547036,0.595861 
[performance_estimation] ,16320,0.911621,0.913121,0.735622,0.612346,0.595926 
[performance_estimation] ,16384,0.911854,0.918586,0.759878,0.636486,0.596084 
[performance_estimation] ,16448,0.911704,0.897815,0.739993,0.605714,0.596121 
[performance_estimation] ,16512,0.911660,0.864901,0.641679,0.505961,0.595772 
[performance_estimation] ,16576,0.911620,0.857296,0.706691,0.552298,0.595604 
[performance_estimation] ,16640,0.911191,0.875066,0.658019,0.524673,0.595331 
[performance_estimation] ,16704,0.910823,0.891676,0.693795,0.563472,0.595209 
[performance_estimation] ,16768,0.911008,0.896887,0.662332,0.541172,0.595003 
[performance_estimation] ,16832,0.910896,0.912597,0.743437,0.618005,0.595091 
[performance_estimation] ,16896,0.910629,0.930544,0.714028,0.605053,0.595128 
[performance_estimation] ,16960,0.910640,0.935876,0.790474,0.673678,0.595425 
[performance_estimation] ,17024,0.910649,0.937000,0.795105,0.678446,0.595737 
[performance_estimation] ,17088,0.910677,0.945235,0.761325,0.655352,0.595960 
[performance_estimation] ,17152,0.910678,0.950432,0.789142,0.683032,0.596285 
[performance_estimation] ,17216,0.910478,0.959798,0.750789,0.656096,0.596507 
[performance_estimation] ,17280,0.910079,0.970304,0.780401,0.689136,0.596850 
[performance_estimation] ,17344,0.909712,0.977937,0.776536,0.690839,0.597197 
[performance_estimation] ,17408,0.909892,0.981196,0.817957,0.730258,0.597686 
[performance_estimation] ,17472,0.909857,0.983793,0.832039,0.744767,0.598225 
[performance_estimation] ,17536,0.909709,0.988213,0.841664,0.756644,0.598803 
[performance_estimation] ,17600,0.909919,0.987730,0.835643,0.751038,0.599357 
[performance_estimation] ,17664,0.910122,0.990827,0.795438,0.717305,0.599784 
[performance_estimation] ,17728,0.910190,0.990841,0.842879,0.760154,0.600363 
[performance_estimation] ,17792,0.910330,0.992447,0.839826,0.758745,0.600933 
[performance_estimation] ,17856,0.910407,0.992895,0.876384,0.792197,0.601618 
[performance_estimation] ,17920,0.910359,0.994776,0.842807,0.763249,0.602196 
[performance_estimation] ,17984,0.910452,0.995158,0.884054,0.800992,0.602903 
[performance_estimation] ,18048,0.910542,0.995670,0.850289,0.770872,0.603499 
[performance_estimation] ,18112,0.910746,0.996218,0.815975,0.740335,0.603982 
[performance_estimation] ,18176,0.910865,0.997402,0.812935,0.738550,0.604456 
[performance_estimation] ,18240,0.911014,0.995889,0.843690,0.765454,0.605021 
[performance_estimation] ,18304,0.911232,0.996819,0.819144,0.744056,0.605507 
[performance_estimation] ,18368,0.911255,0.997651,0.851013,0.773668,0.606093 
[performance_estimation] ,18432,0.911223,0.999179,0.807638,0.735335,0.606542 
[performance_estimation] ,18496,0.911394,0.998719,0.829116,0.754683,0.607054 
[performance_estimation] ,18560,0.911541,0.998228,0.800011,0.727950,0.607471 
[performance_estimation] ,18624,0.911620,0.998696,0.852909,0.776515,0.608052 
[performance_estimation] ,18688,0.911883,0.999325,0.816177,0.743756,0.608517 
[performance_estimation] ,18752,0.912152,0.998983,0.857338,0.781226,0.609106 
[performance_estimation] ,18816,0.912499,0.998875,0.854472,0.778828,0.609684 
[performance_estimation] ,18880,0.912823,0.998786,0.881232,0.803432,0.610340 
[performance_estimation] ,18944,0.913134,0.999149,0.845427,0.771331,0.610884 
[performance_estimation] ,19008,0.913313,0.998833,0.874430,0.797696,0.611513 
[performance_estimation] ,19072,0.913385,0.998545,0.867845,0.791523,0.612117 
[performance_estimation] ,19136,0.913466,0.998635,0.872057,0.795507,0.612731 
[performance_estimation] ,19200,0.913538,0.998704,0.897659,0.818983,0.613418 
[performance_estimation] ,19264,0.913721,0.998600,0.861361,0.785942,0.613991 
[performance_estimation] ,19328,0.913843,0.999119,0.849537,0.775659,0.614527 
[performance_estimation] ,19392,0.914077,0.998701,0.813471,0.742609,0.614949 
[performance_estimation] ,19456,0.914411,0.999203,0.855254,0.781430,0.615497 
[performance_estimation] ,19520,0.914608,0.998888,0.831547,0.759695,0.615970 
[performance_estimation] ,19584,0.914690,0.998677,0.874589,0.798919,0.616568 
